timestamp,mac_hash,rssi,channel
2026-09-22T13:11:56.329715115Z,01bc70c1d96f6220,-89,9
2026-09-22T13:11:56.330991643Z,01bc70c1d96f6220,-92,9
2026-09-22T13:11:56.331363962Z,6f4d1630bc8ec830,-61,1
2026-09-22T13:11:56.331882687Z,6f4d1630bc8ec830,-61,1
2026-09-22T13:11:56.332431886Z,edf884897bd7f157,-59,5
